Category,Summary,Languages,University,Link,HardWare
Information and Database management,"This project propose an app for health information. It includes some improved services for smart health applications through the availability of appointment slot and payment of fees, the possibility of viewing all the drugs purchased and prescribed to the patient, and obtaining information from doctors such as diagnosis that allows patients to understand more about their illness and health condition and prescriptions which in turn improve patient satisfaction as well as obtain laboratory results and other services. The application aims to efficiently provide some health services to monitor the patient's health and attention and provide information about his health without the trouble of going to the hospital and waiting and reducing costs and effort","HTML,JavaScript,CSS,PHP,Java ",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-21.pdf ,0
Software Engineering,"Navigation systems have been widely used in an outdoor environment, but indoor navigation systems are still in early development stages. Outdoor navigation systems are generally based on a global positioning system (GPS) that uses satellite signals but has difficulty indoors, due to the reduction of signal strength from the hard building. The unavailability of GPS makes it difficult to navigate inside buildings. However, with the use of Bluetooth low-energy (BLE) beacons technique it can be used indoors to determine the user devices and their current location. Nowadays, many technologies have emerged to keep pace with technological advances, including Augmented Reality (AR). Due to rare utilizing of AR tools, this project proposed an application in Arabic language to facilitate the process of navigating places inside the University branches , guiding people in an indoor environment using AR, which can assist them to solve the problem of losing time and effort in reaching their destination. ","Cpp,JavaScript",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588876034_kPeLr66J1O.pdf ,0
Mobile Application,"An mobile application for library services. The proposed application gives students, faculty, staff, and community partners a quick access to the services and information resources provided by the University library without need to come in person for most routine services. These services include searching for a specific book, borrowing book request, renewing borrowing books through the app (by scanning the barcode on the book), viewing the status of the book (available - not available - seconded), browsing scientific research and providing notification systems for return and renewal policies (book renewal). Since we have been provided with the database from the Deanship of Libraries at Umm Al-Qura University, we will not engage in data extraction and purification algorithms but will focus here on searching algorithms on big data.",PHP,UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588807090_BN1esYIzLo.pdf ,0
Internet of Things,"Security is important in our life, especially in our homes to protect our families and children. For that we build a system to help people feel safe at their homes. This project main idea is to easily helps people to know who is behind the door. This system home owner can access the website with username and password and then if any guest come to hisher home the device will capture an image of hisher using Raspberry pi and send it to the owner by wifi, then the owner will decide either to open the door or not. Finally, this system will increase safety and privacy, save time. ","PHP,Python",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588812338_uQ0lztzY7A.pdf ,1
Computer Vision and Graphics ,"Nowadays the use of traditional traffic signal is not enough to solve the traffic problems. such as, some people facing death because Emergency vehicles are late maybe from many cars in that road or longer time from traffic light to be green. The project will be using  images processing which taken from cameras in each crossroads, so if it seen any Emergency vehicles in any crossroads gives to it a priority to passing by make a light traffic green.","PHP,Python,JavaScript",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588816985_yCThx8jLlT.pdf ,1
Computer Vision and Graphics ,"Blind people have a different life than normal people. They depend on others for their movement, which may cause them to lose confidence in themselves. Also, because they cannot see, they face difficulties in detecting obstacles and dangers on their way while walking or moving around, which may put them at risk. In this project, we propose a smart stick system that aims for guiding and assisting blind people and enable them to identify the world around them. The proposed system work to detect obstacles and staircases using an ultrasonic sensor. It alerted blind people by vibration and sound if any object detected on the way through a vibration motor and buzzer and others will know if they are need help when the red LED is on. The system allows their families to track them easily anywhere anytime if they are lost via Global Positioning System (GPS). And for urgent, to communicate the blind person with his family, we added Global System for Mobile (GSM) so that if the person pressed a push button, a message will be sent to his family. We used solar power to ensure no power interruption and to use eco-friendly material. In our project, we seek to provide a smart stick that is capable of giving reassurance for blind people to move around alone without fear, a proper tool that's comfortable for them to use and affordable.",Cpp,UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1589419645_BtHHnSMQNg.pdf ,1
Software Engineering ,"This project  is  to serve pilgrims in different fields.  It is a service that makes it easier for the pilgrims to choose the right bus for him and his family. One of the problems that we faced when the pilgrims ride the bus in the process of stampede among the pilgrims to ensure that they ride to the bus and this led to damage between the pilgrims and some of the injuries and other feelings such as anger, and anxiety, also know the conditions of the bus, and how the process of secretion Pilgrims and the movement between holy places and lack of some information for the officials. On the status of knowledge of the bus, the information on the bus almost non-existent.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1589654230_QpDzBQIneT.pdf ,0
Artificial Intelligence ,"Older people tend to fall more than once, especially when they live alone. In the event of a fall accident, medical care should be provided immediately to reduce the risk of falling from serious injuries that could result in death. So this project will develop an intelligent and effective fall detection and alarm system using a smartphone and wireless sensors.",Cpp,UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1590028235_uw8rfbUJWL.pdf ,1
Software Engineering ,"The computing technology has evolved a lot in the last years, Computers has evolved in such a way to finish any task in a blink of eye, so according to this huge time performance many companies and organizations are going towards the brilliant automations solutions, Many factories also are going towards these solution which is called the 4th generation industrial revolution, Our project is an application that automates routine registration process in a hotel, the application also adds some security by using biometric system to identify it’s user (i.e. fingerprint).",Cpp,UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1589660114_z7BYgc7t7W.pdf ,1
Computer Vision and Graphics,"Most of us would like to communicate with deaf people, but not everyone knows sign language. Hence, this project is to  designe a mobile application capable of recognizing Arabic Sign Language alphabets (ArSL) using deep learning to rise awareness and shrink the gap of communication. ",Python,UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CE-20-101.pdf ,0
Information Security,"There are a lot of children who use their phones for long periods and may use malicious applications and sites because; it does not have control. And there are some parents who wants to control and monitor their children's devices but finding that it is so difficult to use control applications because; its available in English language. Therefore, the main objective in the project to develop an application for parental control in an easy and simple way with support for the Arabic language. Subsequently, parents can view applications used by children and can block applications, and can set intervals for use of applications and monitor child's location.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1589594484_gCoD7NJR3D.pdf ,0
Information and Database management,"In Saudi Arabia, people who have car accidents are required to follow some procedures in order to claim a compensation from the car insurance company if car accident occurred. Unfortunately, these procedures are not well known or clear for most people, which results in wasting their time, and effort. This motivates to propose a system that would facilitate and accelerate the process of making a claim for a compensation. ","Java,JavaScript,CSS",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/354512/54FTo73DQi_1589678003_ji7YLzoyrM.pdf ,0
Computer Vision and Graphics,"People with some type of a chronic disease must have a medication course to keep their health balanced. There is a large amount of applications that provide a specific feature to a needing patient. The aim of this project is to design an application that can help anyone to keep their health, by keeping track of the patient's medications. The application will help anyone using it to have all the information of a specific medicine and having an option to set a reminder to the medicine. Humans tend to forget, so having a reminder or a planner to remember to do a task is necessary. Since phones nowadays are essential to have and carry, having an alarm as an application is convenient. We expect to develop an application that gathers a lot of feature for the users so they will not need more than one application, since it will provide the users with everything they might need.","Cpp,Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-36.pdf ,0
Artificial Intelligence,"With the technical developments that have taken place that will happen in Saudi Arabia with Vision 2030, it is important For retailers keeping up with this development and adapting to it, people need an easy and fast shopping way thus It helps them to save time and effort and helps retailers satisfy consumers and reduce work pressure On the staff and in this project will be provided an application for the phone that supports the Android system, helps consumers to Self-shopping, and in this application will extract the amount of the product by scanning barcode the product via the smartphone camera and calculate the total products in the shopping cart","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588728018_w5qDI4xgEk.pdf ,0
Internet of Things,"Rheumatoid arthritis is a chronic progressive disease which causes inflammation in the joints and resulting in painful deformity and immobility, especially in the fingers, wrists, feet, and ankles. In this project, a secure monitoring system is designed using a wearable cyber glove with heterogeneous sensor nodes which assist physiotherapists in remotely monitoring and examine patients finger f lexions, temperature, heartbeats, and blood pressure when performing diverse life activities. It uses flex and force sensors, Arduino platform, and Bluetooth low energy kit to transmit motion, biometric and location measured data to the physiotherapists using the patient mobile. The flex sensor on the index finger detects and estimates the motion. First the collected measurements transmitted to the mobile (Base station in our case) using Blue tooth Low Energy technology and then the mobile initiate a Virtual Private Network to transmit the data securely to the hospital server in order to update the patient file on the database and alert doctor and family in case of critical cases. The proposed system can provide early treatment and detect signs of danger early in order to prevent hospitalization. Also, the length of hospital stay will be minimized, and patients can be connected and monitored easily by the Physiotherapist. It helps a patient to inter vene from any concerns that will hopefully prevent problems when they stay alone at home.",Cpp,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Artificial Intelligence,"The move towards Saudi Arabia's Vision 2030 calls for involvement of both men and women in the workforce. The rapid change in the social aspect of the Saudi families' lives require adaptation and innovation. While women in Saudi Arabia used to stay at home to take care of the children, women nowadays make a huge portion of the workforce. As this development is promising, the need for someone to watch over the children at home is crucial. Many Saudi families rely on babysitter to watch over the children. While babysitters may get distracted in other tasks, the children might engage in dangerous ads such as swallowing a sharp ob jed. The need for an autonomous system that watches over the chiId and alerts in case of emergency has become paramount and the demand for such system is high for working women in Saudi Arabia.  In this projed, a robot that follows the chi Id and alarms the parents remotely through an app on the phone is presented. The robot detects the objeds surrounding the chi Id using a real-time objed detection approach ",Cpp,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Artificial Intelligence,"This project focus on a slice of society with a particular need, it is for people who lose their ability of sight or may born without it, the project helps the users in some of challenges that always face them like recognize the people or go to a particular shop, etc., the glass provides many features to make the user out of a assistant.by help to recognize and know faces or objects even fire to protect them from being hurt. The proposed vision system consists of five ser vices including Face Recognition, Object Recognition, Fire Detection, Positioning System and Sound System.",Python,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Computer Vision and Graphics,A face recognition based attendance system is a process of recognising the students face for taking attendance by using face-biometrics. The instructors take around 10 minutes of the lectures time to record students attended manually by calling their names or pass a paper to the students to write their names and that has been proved to be time and effort waste for both students and instructors.Face recognition has a high accuracy which will help both students and instructors and promote a high level of student engagement-in-class activities which would promise better academic achievement.,Python,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Mobile Application,"Many people own a vehicle but cannot drive, hence they prefer hiring a driver for long rides. Most of the people desire to be at ease during their journey and this can only be possible if the driver is decent & experienced. This project is an application that will help you find the best drivers for your ride. Both the users & drivers can access the application by registering themselves on the system. The drivers can set their profile by providing their driving experience & can upload the necessary driving documents. The driver & user can see the allotted ride details and can also check the details of previous, upcoming & canceled rides.The users can get a list of the available drivers along with their details based on the route selected. The user can track the location during the rides & can also rate the driver once the ride is complete. Thus, this android-based driver booking application will provide a user-friendly experience to both the users & drivers.In this system, the User is able to hire a driver by entering the details such as place, dates, days, vehicle type, etc. The system will list down the drivers based on Experience & ratings best suited for the User. The Driver can cancel the ride if he is not available. If the Booking is cancelled by the user, he will get a refund. Location of the driver is updated continuously during the ride.","Java,Kotlin",nevonprojects,https://nevonprojects.com/online-driver-hiring-android-app/ ,0
Mobile Application,"Most students and employees of the university, especially the new ones, find it difficult to reach places that are not frequently visited. They often ask others to guide them to a place and may not find the correct answer or follow written instructions that might be old, not updated or unclear. This project allows the users to reach their destination within the university building in the shortest way through an interactive map containing most of the locations and names of libraries, departments, labs, stairs, lifts, deanships and classrooms .. etc , as much as possible in the project implementation area and instructions to reach the destination (very similar to GPS but its IPS (indoor positioning system)). These locations will be detected using specific algorithms that handle Bluetooth signals from Beacons which are Bluetooth radio transmitter installed in specific locations within the University building and use Wi fi signals to locate the user","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-05.pdf ,1
Mobile Application,An Android Application for Supporting Self-Regulated Learners,"Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588785957_bF14h40wDT.pdf ,0
Software Engineering,"Children with autism spectrum disorder (ASD) often have difficulty communicating with their families as well as with the people around them. One way for children with ASD to communicate without relying on speech is to use the Picture Exchange Communication System (PECS) method. In this project , we will develop an Arabic  App for children with ASD to improve their socio-adaptive behaviors and social responses using PECS. We will use pictures and audio as tools to improve children’s communication skills, such as asking and answering questions and having conversations, to make it easier for them to have social interactions.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588969921_JtpSUV43Z1.pdf ,0
Artificial Intelligence,The idea of this project is to build a chatbot to help beginners to learn programming through answering their inquiries. So The user can ask chat bot queries then chat bot can answer with pseudocode with brief description. In addition the user can chat with programmers to get more information,"Python,JavaScript",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588796476_FMNrUc9ogJ.pdf ,0
 Software Engineering ,"Road distresses such as cracking, potholes, surface defects and deformations are all common problems in every city. To achieve the goals of Vision 2030 in developing our cities, we introduce this project . The  system aims to improve an effective damage management of the roads  by providing mobile applications for the citizens and community participants to report road distresses, and web dashboards to manage the reports. The app uses a two-stages deep learning classification model to facilitate the process of classifying the distresses of the road, and has a centralized database containing data and information about the reported damages. In addition, it has an electronic portal that allows researchers and entrepreneurs to obtain accurate and up-to-date data to contribute to continuous improvement.","HTML,JavaScript,CSS,Java,Python",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588893832_bWw5vjVuc6.pdf ,0
Computer Vision and Graphics,"Physiotherapy is an area that serves many people with injuries requiring rehabilitation and helps the patients to have a normal life. However, it experiences a lack of technical support as therapeutic exercises requires the direct supervision of a therapist. Among many technical areas, AR can overlay the real world in a digital world, helping the patients by providing the possibility of performing rehabilitation exercises by themselves offline the direct supervision of a therapist. The project aims to help patients outside the clinic, as most patients have difficulty understanding the prescribed exercises correctly on their own. Also, the worst is when injuries may occur due to incorrect performance of exercises. To perform rehabilitation exercises accurately, patients need immediate feedback. The project uses the so-called Human Pose Skeleton, which does the therapeutic exercises and monitors the movement of the patient in real-time. So that it becomes easier for the patient to see the movements of prescribed exercise and their body at the same time thus the patient is like a shadow of that Human Pose Skeleton trying to follow its movement and match them to ensure the correct performance of these unsupervised exercises. Nowadays, the market demands a mobile phone application that meets the needs of patients while performing therapeutic exercises in easy-to-use means and accessible to everyone who needs it as much as possible. The project aims to bridge this gap using active real-time feedback mechanisms to assist rehabilitation which will help patients continue performing exercises outside the clinic. This contributes to taking therapeutic exercises as a lifestyle, a desirable goal for successful rehabilitation.","Python,JavaScript",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588789571_GN1NKL0eOW.pdf ,0
Internet of Things,"Most governmental units and hospitals take care and provide specialized care and home services to the elderly and disabled people, who have so many diseases and have to take different types of medication at different times and quantities, they most likely forget their medication and need to organize them. To avoid this situation, we proposed a smart medicine box that is connected to an Arduino device and mobile application. Our medicine box has a built- in alarm system consisting of light and sound that alert the patient to take the medication, whereas the light helps those who have a hearing impairment and the sound is for those with optical problems. Also, the box has sensors that check the presence of medicines and fingerprint that check user finger. Moreover, the mobile application benefits caregivers and patients with maintaining a clear track of the medication.","Cpp,Swift",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-32.pdf ,1
Artificial Intelligence ,"With the continuous growth of the social economy and the continuous development of modern industry, urban environmental problems are becoming more and more serious, and countries around the world need to pay close attention to environmental pollution This project focus on hajj and Umrah in Saudi Arabia due it hosts Muslims pilgrims from around the world. As a result, Makkah and the holy places become very crowded, hence, there is high chance for pollution. This project aims to monitor air pollution levels by merging Artificial intelligence (AI) to a drone equipped with sensors to scan the air and gather information about quality of the air and the main factors of pollution.","Python,HTML",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588851081_YnHHVUeqxx.pdf  ,1
Software Engineering,"Arabic Grammar Summarization frames detection is an important problem while building complex natural language processing systems. This Project aims to develop a program which read a corpus (or texts from the web) in Arabic and automatically collects information about the Summarization frames of certain grammar. The program will perform tagging and shallow parsing , and extracts information from the parsed text about these selected grammar frames and their objects. The output should be a list of recognized Summarization frames. The development of the proposed intelligent system will go through a number of stages such problem and need identification, requirements analysis, knowledge acquisition, formalization, design and implementation.",Python,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,0
Artificial Intelligence,"With the knowledge decentralization and internationalization, more and more people need to learn and practice new languages. For that, they need to attend classes, study textbooks, and many more other sources. However, all these previously mentioned methods of learning may possibly lack the important factor of interactivity. In parallel, with the Internet growing size and presence, the notion and domain of Virtual Reality has started. As consequence another method of language learning is arising from virtual reality, and the technology might become more prevalent in the coming years, In this context, the project we are proposing aims to create a more immersive language learning landscape. It consists of a new experience that aspires to take learner's language skills to another level by allowing users to enter an actual virtual world, and attend virtual language classes where they can move, talk, make decisions, and interact with the virtual world around them.",Python,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Mobile Application,"This p roject aims to design an application that is intended to help the deaf, mute and the blind people during emergency situations, the application will make communication to be easily understood by the rescue team (Ambulance, Police, and Fire department) in the shortest amount of time. It will also increase the rescue team resp onse time to any crisis sent by people with disabilities and resulting in lower rate of permanent injuries and loss of lives.","Java,Kotlin",princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf,0
Web Application,"The idea of ​​the project is to build an integrated electronic system that brings together sponsors and orphans from all over the world, as well as institutions needed by orphans","HTML,JavaScript,CSS,PHP",Palestine Polytechnic University,https://citce.ppu.edu/ar/node/396#------------------------------------------------------------------------,0
Information Security,"Present-day health care systems are information-dense and progressively relying on computer- based information systems. Unfortunately, many of these information system’s use is predominantly restricted to the collection and retrieval of patient records. The failure to digitally communicate and transfer medical record information to other health information systems is undoubtedly a major barrier to efficient patient care and other clinical decision making, and the interoperability between heterogeneous systems still remains a challenge even with decades of investment. The implementation of a safe bi-directional document exchange system is a part of enhancing interoperability by providing a safe messenger system to support some of the core interaction medical documents. Lack of interoperability can also jeopardize patient safety and led to technology-related medical accidents. Hence, the project also focuses on the safety aspect of the system and provides an in-depth hazard analysis along with the implementation of a safety monitoring system to notify users about unexpected system failures.","HTML,JavaScript,CSS",University of Victoria,http://hdl.handle.net/1828/12884,0
Internet of Things,"This project propose an Internet of Things (IOT) based pet tracking solution which relies on the SMS service for communication. It introduce security solution that addresses the SMS communication in the pet tracking system and provide details for the implementation of the system on both the Android platform and the embedded hardware platform based on the de ned requirements. The overall design realizes a exible, low power, low cost, secure and privacy protected wireless pet tracking system.","Java,Kotlin",University of Victoria,http://hdl.handle.net/1828/13650,0
Computer Vision and Graphics,"The wide usage of computer vision in many perspectives has been attracted in the recent years. One of the areas of computer vision that has been studied is facial emotion recognition, which plays a crucial role in the interpersonal communication. This project  demonstrates the advances could be made in this eld. This project  tackles the problem of intraclass variances in the face images of emotion recognition datasets. We test the system on an augmented dataset including CK+, EMOTIC, and KDEF dataset samples, which increase the intraclass variances in the face images of our dataset. The proposed method is based on SMOTETomek.",Python,University of Victoria,http://hdl.handle.net/1828/13571,0
Artificial Intelligence,Breast cancer diagnosis and prognosis are two medical applications that pose a great challenge to the research community. Breast cancer has become the leading cause of death for women in the world. Recurrence of cancer is one of the biggest fears in the life of a cancer patient and thus one of issues that affect their quality of life. The aim of this project to improve detection of breast cancer recurrence using machine learning techniques. This will help physicians make better treatment decisions for patients to increase their sur vival rate.,Python,princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,0
Mobile Application,"Mute people are a part of society, they have the right to be understandable from other, and the normal people don't know about sign language so we will solve this problem. Most of the current systemIs depend on signs images and it is hard for a mute person to carry a camera where he or she goes and may not be guaranteed, We will solve the problem by develop a complete system that supports two ways of communication, the Arabic language, appears as voice instead of image and deals with angles of Arabic signs, We develop an application where the glove is mounted with five Flex sensors, one for each finger, and a set of equipment with an app to convert the Arabic sign language to voice. At normal people side, we use just the app to response to deaf people. Also, Glove will consist of Arduino Nana to read the analog from flex sensors and Bluetooth Module HC-05, to transmit sensor data to the app by the Bluetooth, The system based an combination between elements from hardware and software to capture the hand gestures of the mute people and convert them to voice using Mobile Application, In addition normal people can reply by speaking to the app and then it will be converted to the text that describes the speech’s.","Java,Kotlin,Python",princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,1
Web Application,"Recently e-learning systems are experiencing rapid development. Traditional education may seem boring to the student, expensive to build universities and schools, limited to a certain number of students at a specific time and place so this project will work on a learning management system that aims to provide all the interactive educational means that the student needs to learn from anywhere and anytime. The purpose of this website is to develop interactive online course that motivate students to keep learning and avoiding walls of text in the lectures. The website will use videos, multimedia and animations to enhance the student learning.","HTML,JavaScript,CSS,Python",princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,0
Mobile Application,"This project aims to enhance the quality of the patient's life and provide them with the lifestyle they need. A mobile application is created to analyze the patient's data, such as measurements of diabetes, blood pressure, and kidney. In the Kingdom of Saudi Arabia, there is no technology emplo yment to help the doctors make diagnoses faster and much more accurate. The system is implemented to classify patients of chronic diseases if they have each disease or not, using machine learning techniques. Furthermore, it is hard for the patients of chronic diseases to record their measurements on a paper every time they measure either the blood pressure or sugar level or any other disease that needs periodic measurements. The paper might be lost, and this can lead the doctor to not f ully understand the case because of the lost measurements. As a solution , the application is going to record measurements in the database. Moreover, it is difficult for patients to decide what to eat or how many times they should exercise according to their situation. Our idea is to recommend a lifestyle for the patients based on their measurements and make the doctor participate in it by writing notes. ","Java,Kotlin,Python",princess noura university,https://www.pnu.edu.sa/ar/Faculties/computerscience/projectsachievements/Documents/BookofPNUCCISGP.pdf ,0
